cbg,total_population,median_household_income,median_age,white_population,black_population,asian_population,hispanic_population,uni_degree,income_q,education_q,age_q
2.50277E+11,1450,58523,34.3,0.491724138,0.107586207,0.159310345,0.165517241,0.20104712,Q3,Q2,Q2
2.50277E+11,738,NA,29,0.334688347,0.418699187,0.059620596,0.31300813,0.061135371,NA,Q1,Q1
2.50277E+11,916,25057,34.1,0.767467249,0.186681223,0,0.279475983,0.101880878,Q1,Q1,Q2
2.50277E+11,887,29943,35.5,0.638105975,0.180383315,0,0.295377678,0.077844311,Q1,Q1,Q2
2.50277E+11,1538,54792,45.4,0.927828349,0.059817945,0.011703511,0.001950585,0.370748299,Q3,Q3,Q4
2.50277E+11,3072,65982,40.2,0.657877604,0.122070313,0.068359375,0.151692708,0.43660186,Q4,Q3,Q3
2.50277E+11,2360,59939,39.6,0.595338983,0.281779661,0.109745763,0.073728814,0.261731659,Q3,Q2,Q3
2.50277E+11,1186,63594,33.3,0.644182125,0.164418212,0.070826307,0.180438449,0.308184143,Q3,Q3,Q2
2.50277E+11,1012,63750,28.2,0.666007905,0.225296443,0.019762846,0.146245059,0.482882883,Q3,Q4,Q1
2.50277E+11,1196,34132,48.5,0.721571906,0.118729097,0.005852843,0.186454849,0.155737705,Q2,Q2,Q4
2.50277E+11,3038,52325,31.9,0.545753785,0.289005925,0.062541145,0.046741277,0.342507645,Q3,Q3,Q2
2.50277E+11,686,NA,39.8,0.857142857,0,0.064139942,0.307580175,0.244897959,NA,Q2,Q3
2.50277E+11,1691,NA,25.1,1,0,0,0.283855707,0.178654292,NA,Q2,Q1
2.50277E+11,793,65076,34.3,0.723833544,0.119798235,0.156368222,0.262295082,0.190751445,Q3,Q2,Q2
2.50277E+11,1405,73750,20.4,0.839145907,0.083985765,0.036298932,0.105338078,0.72972973,Q4,Q4,Q1
2.50277E+11,955,57625,28.5,0.638743455,0.043979058,0.102617801,0.445026178,0.037807183,Q3,Q1,Q1
2.50277E+11,1642,38438,30.7,0.705846529,0.077953715,0.164433618,0.225943971,0.246766169,Q2,Q2,Q2
2.50277E+11,1390,33125,37.3,0.560431655,0.064748201,0.204316547,0.382014388,0.02060844,Q2,Q1,Q3
2.50277E+11,872,66250,43.1,0.891055046,0.075688073,0,0.146788991,0.331179321,Q4,Q3,Q4
2.50277E+11,1234,56324,43.2,0.688751926,0.100154083,0.177966102,0.033898305,0.262156448,Q3,Q2,Q4
2.50277E+11,709,43611,42.9,0.726375176,0.059238364,0.179125529,0.210155148,0.204408818,Q2,Q2,Q3
2.50277E+11,1477,74500,40.3,0.728503724,0.136086662,0.104942451,0.140825999,0.277264325,Q4,Q3,Q3
